species,decimalLatitude,decimalLongitude
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2812,145.6294
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2783,145.6245
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
Alectura lathami,-17.2834,145.615
